22:15:49.704453 IP 192.168.0.113.42316 > ubuntu.0: Flags [S], seq 1561476481, win 512, length 0
22:15:49.704470 IP 192.168.0.113.42317 > ubuntu.0: Flags [S], seq 1822684128, win 512, length 0
22:15:49.704486 IP 192.168.0.113.42318 > ubuntu.0: Flags [S], seq 318879623, win 512, length 0
22:15:49.704488 IP 192.168.0.113.42319 > ubuntu.0: Flags [S], seq 1748182472, win 512, length 0
22:15:49.704643 IP 192.168.0.113.43036 > ubuntu.0: Flags [S], seq 1462982243, win 512, length 0
22:15:49.704696 IP 192.168.0.113.43037 > ubuntu.0: Flags [S], seq 1124088021, win 512, length 0
22:15:49.704700 IP 192.168.0.113.43038 > ubuntu.0: Flags [S], seq 771438241, win 512, length 0
22:15:49.704701 IP 192.168.0.113.43039 > ubuntu.0: Flags [S], seq 1456207938, win 512, length 0
22:15:49.704703 IP 192.168.0.113.43040 > ubuntu.0: Flags [S], seq 507080167, win 512, length 0
22:15:49.704704 IP 192.168.0.113.43041 > ubuntu.0: Flags [S], seq 1578946504, win 512, length 0
22:15:49.704706 IP 192.168.0.113.43042 > ubuntu.0: Flags [S], seq 52142998, win 512, length 0
22:15:49.704707 IP 192.168.0.113.43043 > ubuntu.0: Flags [S], seq 1459220216, win 512, length 0
22:15:49.704708 IP 192.168.0.113.43044 > ubuntu.0: Flags [S], seq 1237167147, win 512, length 0
22:15:49.704710 IP 192.168.0.113.43045 > ubuntu.0: Flags [S], seq 130001371, win 512, length 0
22:15:49.704711 IP 192.168.0.113.43046 > ubuntu.0: Flags [S], seq 33982747, win 512, length 0
22:15:49.704712 IP 192.168.0.113.43047 > ubuntu.0: Flags [S], seq 69971545, win 512, length 0
22:15:49.704716 IP 192.168.0.113.43048 > ubuntu.0: Flags [S], seq 180243607, win 512, length 0
22:15:49.704717 IP 192.168.0.113.43049 > ubuntu.0: Flags [S], seq 1336486820, win 512, length 0
22:15:49.704719 IP 192.168.0.113.43050 > ubuntu.0: Flags [S], seq 1767198128, win 512, length 0
22:15:49.704721 IP 192.168.0.113.43051 > ubuntu.0: Flags [S], seq 276063694, win 512, length 0
22:15:49.704722 IP 192.168.0.113.43052 > ubuntu.0: Flags [S], seq 1219361160, win 512, length 0
22:15:49.704723 IP 192.168.0.113.43053 > ubuntu.0: Flags [S], seq 490924489, win 512, length 0
22:15:49.704725 IP 192.168.0.113.43054 > ubuntu.0: Flags [S], seq 2073794631, win 512, length 0
22:15:49.704726 IP 192.168.0.113.43055 > ubuntu.0: Flags [S], seq 1366784196, win 512, length 0
22:15:49.704727 IP 192.168.0.113.43056 > ubuntu.0: Flags [S], seq 678172040, win 512, length 0
22:15:49.704730 IP 192.168.0.113.43057 > ubuntu.0: Flags [S], seq 944987062, win 512, length 0
22:15:49.704731 IP 192.168.0.113.43058 > ubuntu.0: Flags [S], seq 1563307790, win 512, length 0
22:15:49.704733 IP 192.168.0.113.43059 > ubuntu.0: Flags [S], seq 619857747, win 512, length 0
22:15:49.704734 IP 192.168.0.113.43060 > ubuntu.0: Flags [S], seq 607334624, win 512, length 0
22:15:49.704735 IP 192.168.0.113.43061 > ubuntu.0: Flags [S], seq 128519407, win 512, length 0
22:15:49.704737 IP 192.168.0.113.43062 > ubuntu.0: Flags [S], seq 1181841402, win 512, length 0
22:15:49.704738 IP 192.168.0.113.43063 > ubuntu.0: Flags [S], seq 672883244, win 512, length 0
22:15:49.704776 IP 192.168.0.113.43064 > ubuntu.0: Flags [S], seq 110038908, win 512, length 0
22:15:49.704781 IP 192.168.0.113.43065 > ubuntu.0: Flags [S], seq 420941136, win 512, length 0
22:15:49.704783 IP 192.168.0.113.43066 > ubuntu.0: Flags [S], seq 170900932, win 512, length 0
22:15:49.704784 IP 192.168.0.113.43067 > ubuntu.0: Flags [S], seq 822900538, win 512, length 0
22:15:49.704785 IP 192.168.0.113.43068 > ubuntu.0: Flags [S], seq 1353544328, win 512, length 0
22:15:49.704787 IP 192.168.0.113.43069 > ubuntu.0: Flags [S], seq 386786895, win 512, length 0
22:15:49.704788 IP 192.168.0.113.43070 > ubuntu.0: Flags [S], seq 1526319827, win 512, length 0
22:15:49.704790 IP 192.168.0.113.43071 > ubuntu.0: Flags [S], seq 984255993, win 512, length 0
22:15:49.704791 IP 192.168.0.113.43072 > ubuntu.0: Flags [S], seq 339541899, win 512, length 0
22:15:49.704802 IP 192.168.0.113.43073 > ubuntu.0: Flags [S], seq 1791804191, win 512, length 0
22:15:49.704805 IP 192.168.0.113.43074 > ubuntu.0: Flags [S], seq 357812140, win 512, length 0
22:15:49.704806 IP 192.168.0.113.43075 > ubuntu.0: Flags [S], seq 1569700189, win 512, length 0
22:15:49.704808 IP 192.168.0.113.43076 > ubuntu.0: Flags [S], seq 1262502414, win 512, length 0
22:15:49.704809 IP 192.168.0.113.43077 > ubuntu.0: Flags [S], seq 1617685210, win 512, length 0
22:15:49.704810 IP 192.168.0.113.43078 > ubuntu.0: Flags [S], seq 557736473, win 512, length 0
22:15:49.704812 IP 192.168.0.113.43079 > ubuntu.0: Flags [S], seq 410383460, win 512, length 0
22:15:49.704841 IP 192.168.0.113.43080 > ubuntu.0: Flags [S], seq 364629341, win 512, length 0
22:15:49.704845 IP 192.168.0.113.43081 > ubuntu.0: Flags [S], seq 40188598, win 512, length 0
22:15:49.704847 IP 192.168.0.113.43082 > ubuntu.0: Flags [S], seq 1860608573, win 512, length 0
22:15:49.704848 IP 192.168.0.113.43083 > ubuntu.0: Flags [S], seq 602799481, win 512, length 0
22:15:49.704849 IP 192.168.0.113.43084 > ubuntu.0: Flags [S], seq 1052653109, win 512, length 0
22:15:49.704850 IP 192.168.0.113.43085 > ubuntu.0: Flags [S], seq 988996790, win 512, length 0
22:15:49.704852 IP 192.168.0.113.43086 > ubuntu.0: Flags [S], seq 1778614722, win 512, length 0
22:15:49.704853 IP 192.168.0.113.43087 > ubuntu.0: Flags [S], seq 1952195295, win 512, length 0
22:15:49.704854 IP 192.168.0.113.43088 > ubuntu.0: Flags [S], seq 307241925, win 512, length 0
22:15:49.704855 IP 192.168.0.113.43089 > ubuntu.0: Flags [S], seq 554546048, win 512, length 0
22:15:49.704856 IP 192.168.0.113.43090 > ubuntu.0: Flags [S], seq 1166481765, win 512, length 0
22:15:49.704858 IP 192.168.0.113.43091 > ubuntu.0: Flags [S], seq 602900051, win 512, length 0
22:15:49.704859 IP 192.168.0.113.43092 > ubuntu.0: Flags [S], seq 1139803962, win 512, length 0
22:15:49.732798 IP 192.168.0.113.43093 > ubuntu.0: Flags [S], seq 1811551252, win 512, length 0
22:15:49.732819 IP 192.168.0.113.43094 > ubuntu.0: Flags [S], seq 1143541517, win 512, length 0
22:15:49.732820 IP 192.168.0.113.43095 > ubuntu.0: Flags [S], seq 1393297314, win 512, length 0
22:15:49.732822 IP 192.168.0.113.43096 > ubuntu.0: Flags [S], seq 834276131, win 512, length 0
22:15:49.732823 IP 192.168.0.113.44812 > ubuntu.0: Flags [S], seq 1493073237, win 512, length 0
22:15:49.732824 IP 192.168.0.113.44813 > ubuntu.0: Flags [S], seq 1664036216, win 512, length 0
22:15:49.732826 IP 192.168.0.113.44814 > ubuntu.0: Flags [S], seq 1541161284, win 512, length 0
22:15:49.732828 IP 192.168.0.113.44815 > ubuntu.0: Flags [S], seq 2025651765, win 512, length 0
